stitched_R,QPS,CPQ,recall
stitched_R=80,4954.52,552.3,0.7441
stitched_R=80,4077.34,619.24,0.7686
stitched_R=80,3685.29,727.44,0.7948999999999999
stitched_R=80,2344.57,1124.74,0.8288
stitched_R=80,1641.95,1483.62,0.8371
stitched_R=80,1430.1,1816.07,0.8402
stitched_R=80,1198.03,2128.98,0.8417
stitched_R=80,916.69,2847.35,0.8436
stitched_R=80,740.61,3502.76,0.8451000000000001
stitched_R=80,554.74,4689.19,0.8472
stitched_R=80,456.23,5761.56,0.8489
stitched_R=80,381.41,6754.84,0.8502
stitched_R=80,159.89,11020.92,0.8573000000000001
stitched_R=800,3691.57,661.82,0.7609999999999999
stitched_R=800,2559.23,773.92,0.7912
stitched_R=800,1562.39,1175.61,0.8291
stitched_R=800,1142.31,1534.53,0.8371
stitched_R=800,849.12,1866.79,0.8404
stitched_R=800,780.3,2179.45,0.8419
stitched_R=800,489.43,2897.79,0.8439
stitched_R=800,440.73,3553.1,0.8453
stitched_R=800,327.62,4738.58,0.8473
stitched_R=800,249.15,5810.55,0.8489
stitched_R=800,209.9,6803.0,0.8504
stitched_R=800,186.67,7736.49,0.852
stitched_R=800,157.5,8621.92,0.8534
stitched_R=800,126.31,9468.92,0.8547
stitched_R=800,125.65,10282.35,0.8561
stitched_R=800,109.09,11067.11,0.8573000000000001
stitched_R=800,95.85,12563.99,0.8595999999999999
stitched_R=800,83.17,13982.78,0.8617
